LYLE,0.038,male_first,LYLE,LYLE,LYLE
MATT,0.038,male_first,MATT,MATT,MATT
LYNN,0.038,male_first,LYNN,LYNN,LYNN
ALFONSO,0.038,male_first,ALFONSO,ALFONSO,ALFONSO
ORLANDO,0.037,male_first,ORLANDO,ORLANDO,ORLANDO
REX,0.037,male_first,REX,REX,REX
CARLTON,0.037,male_first,CARLTON,CARLTON,CARLTON
ERNESTO,0.037,male_first,ERNESTO,ERNESTO,ERNESTO
CAMERON,0.037,male_first,CAMERON,CAMERON,CAMERON
NEAL,0.037,male_first,NEAL,NEAL,NEAL
PABLO,0.036,male_first,PABLO,PABLO,PABLO
LORENZO,0.036,male_first,LORENZO,LORENZO,LORENZO
OMAR,0.036,male_first,OMAR,OMAR,OMAR
WILBUR,0.036,male_first,WILBUR,WILBUR,WILBUR
BLAKE,0.036,male_first,BLAKE,BLAKE,BLAKE
GRANT,0.036,male_first,GRANT,GRANT,GRANT
HORACE,0.036,male_first,HORACE,HORACE,HORACE
RODERICK,0.036,male_first,RODERICK,RODERICK,RODERICK
KERRY,0.036,male_first,KERRY,KERRY,KERRY
ABRAHAM,0.035,male_first,ABRAHAM,ABRAHAM,ABRAHAM
WILLIS,0.035,male_first,WILLIS,WILLIS,WILLIS
RICKEY,0.035,male_first,RICKEY,RICKEY,RICKEY
JEAN,0.035,male_first,JEAN,JEAN,JEAN
IRA,0.035,male_first,IRA,IRA,IRA
ANDRES,0.034,male_first,ANDRES,ANDRES,ANDRES
CESAR,0.034,male_first,CESAR,CESAR,CESAR
JOHNATHAN,0.034,male_first,JOHNATHAN,JOHNATHAN,JOHNATHAN
MALCOLM,0.034,male_first,MALCOLM,MALCOLM,MALCOLM
RUDOLPH,0.034,male_first,RUDOLPH,RUDOLPH,RUDOLPH
DAMON,0.034,male_first,DAMON,DAMON,DAMON
KELVIN,0.034,male_first,KELVIN,KELVIN,KELVIN
RUDY,0.034,male_first,RUDY,RUDY,RUDY
PRESTON,0.034,male_first,PRESTON,PRESTON,PRESTON
ALTON,0.033,male_first,ALTON,ALTON,ALTON
ARCHIE,0.033,male_first,ARCHIE,ARCHIE,ARCHIE
MARCO,0.033,male_first,MARCO,MARCO,MARCO
WM,0.033,male_first,WM,WM,WM
PETE,0.032,male_first,PETE,PETE,PETE
RANDOLPH,0.032,male_first,RANDOLPH,RANDOLPH,RANDOLPH
GARRY,0.032,male_first,GARRY,GARRY,GARRY
GEOFFREY,0.032,male_first,GEOFFREY,GEOFFREY,GEOFFREY
JONATHON,0.032,male_first,JONATHON,JONATHON,JONATHON
FELIPE,0.032,male_first,FELIPE,FELIPE,FELIPE
BENNIE,0.032,male_first,BENNIE,BENNIE,BENNIE
GERARDO,0.032,male_first,GERARDO,GERARDO,GERARDO
ED,0.032,male_first,ED,ED,ED
DOMINIC,0.032,male_first,DOMINIC,DOMINIC,DOMINIC
ROBIN,0.032,male_first,ROBIN,ROBIN,ROBIN
LOREN,0.032,male_first,LOREN,LOREN,LOREN
DELBERT,0.031,male_first,DELBERT,DELBERT,DELBERT
COLIN,0.031,male_first,COLIN,COLIN,COLIN
GUILLERMO,0.031,male_first,GUILLERMO,GUILLERMO,GUILLERMO
EARNEST,0.031,male_first,EARNEST,EARNEST,EARNEST
LUCAS,0.031,male_first,LUCAS,LUCAS,LUCAS
BENNY,0.03,male_first,BENNY,BENNY,BENNY
NOEL,0.03,male_first,NOEL,NOEL,NOEL
SPENCER,0.03,male_first,SPENCER,SPENCER,SPENCER
RODOLFO,0.03,male_first,RODOLFO,RODOLFO,RODOLFO
MYRON,0.03,male_first,MYRON,MYRON,MYRON
EDMUND,0.03,male_first,EDMUND,EDMUND,EDMUND
GARRETT,0.029,male_first,GARRETT,GARRETT,GARRETT
SALVATORE,0.029,male_first,SALVATORE,SALVATORE,SALVATORE
CEDRIC,0.029,male_first,CEDRIC,CEDRIC,CEDRIC
LOWELL,0.029,male_first,LOWELL,LOWELL,LOWELL
GREGG,0.029,male_first,GREGG,GREGG,GREGG
SHERMAN,0.028,male_first,SHERMAN,SHERMAN,SHERMAN
WILSON,0.028,male_first,WILSON,WILSON,WILSON
DEVIN,0.028,male_first,DEVIN,DEVIN,DEVIN
SYLVESTER,0.028,male_first,SYLVESTER,SYLVESTER,SYLVESTER
KIM,0.028,male_first,KIM,KIM,KIM
ROOSEVELT,0.028,male_first,ROOSEVELT,ROOSEVELT,ROOSEVELT
ISRAEL,0.028,male_first,ISRAEL,ISRAEL,ISRAEL
JERMAINE,0.028,male_first,JERMAINE,JERMAINE,JERMAINE
FORREST,0.027,male_first,FORREST,FORREST,FORREST
WILBERT,0.027,male_first,WILBERT,WILBERT,WILBERT
LELAND,0.027,male_first,LELAND,LELAND,LELAND
SIMON,0.026,male_first,SIMON,SIMON,SIMON
GUADALUPE,0.026,male_first,GUADALUPE,GUADALUPE,GUADALUPE
CLARK,0.026,male_first,CLARK,CLARK,CLARK
IRVING,0.026,male_first,IRVING,IRVING,IRVING
CARROLL,0.026,male_first,CARROLL,CARROLL,CARROLL
BRYANT,0.026,male_first,BRYANT,BRYANT,BRYANT
OWEN,0.026,male_first,OWEN,OWEN,OWEN
RUFUS,0.025,male_first,RUFUS,RUFUS,RUFUS
WOODROW,0.025,male_first,WOODROW,WOODROW,WOODROW
SAMMY,0.025,male_first,SAMMY,SAMMY,SAMMY
KRISTOPHER,0.025,male_first,KRISTOPHER,KRISTOPHER,KRISTOPHER
MACK,0.025,male_first,MACK,MACK,MACK
